Variable,Topic,Subtopic,Survey Years,Response Code,Description,Data Type,Universe,Universe Description,Record Level,Status Flag,User Notes
SHHADID,ID Variables,ID Variables,"2024, 2023",011:049,Household ID at time of interview. Used to differentiate households spawned from an original sample household.,Character,All persons,,Household,,
SHHADID,ID Variables,ID Variables,"2022, 2021, 2020, 2019, 2018",011:049,Household address ID. Used to differentiate households spawned from an original sample household.,Character,All persons,,Household,,
SPANEL,ID Variables,ID Variables,2023,2020. Panel Year||2021. Panel Year||2022. Panel Year||2023. Panel Year,Panel year,Numeric,All persons,,Household,,
SPANEL,ID Variables,ID Variables,2022,2020. Panel Year||2021. Panel Year||2022. Panel Year,Panel year,Numeric,All persons,,Household,,
SPANEL,ID Variables,ID Variables,2021,2018. Panel Year||2020. Panel Year||2021. Panel Year,Panel year,Numeric,All persons,,Household,,
SPANEL,ID Variables,ID Variables,2020,2018. Panel Year||2020. Panel Year,Panel year,Numeric,All persons,,Household,,
SPANEL,ID Variables,ID Variables,2019,2018. Panel Year||2019. Panel Year,Panel year,Numeric,All persons,,Household,,
SPANEL,ID Variables,ID Variables,2018,2018. Panel Year,Panel year,Numeric,All persons,,Household,,
SSUID,ID Variables,ID Variables,"2024, 2023, 2022, 2021, 2020, 2019, 2018",00000000000000:99999999999999,"Sample unit identifier. This identifier is created by scrambling together PSU, Sequence #1, Sequence #2, and the Frame Indicator for a case. It may be used in matching sample units from different waves.",Character,All persons,,Household,,
SWAVE,ID Variables,ID Variables,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2014 Wave 4, 2014 Wave 3, 2014 Wave 2, 2014 Wave 1",1:04,Wave number of interview,Numeric,All persons,,Household,,
PNUM,ID Variables,ID Variables,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2014 Wave 4, 2014 Wave 3, 2014 Wave 2, 2014 Wave 1",101:499,Person number,Numeric,All persons,All persons,Person,,
MONTHCODE,ID Variables,ID Variables,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2014 Wave 4, 2014 Wave 3, 2014 Wave 2, 2014 Wave 1",1:12,Value of reference month,Numeric,All persons,,Person-month,,
GHLFSAM,ID Variables,ID Variables,"2024, 2023, 2022, 2021, 2020, 2019, 2018",1:02,Half sample code. A code used to divide the sample into half sample replicates that are used for variance estimation.,Character,All households,All households,Household,,
GVARSTR,ID Variables,ID Variables,"2024, 2023, 2022, 2021, 2020, 2019, 2018",001:240,Variance pseudo stratum code. Strata formed for half sample variance estimation,Character,All households,All households,Household,,
WPFINWGT,Survey Weights,Survey Weights,"2024, 2023, 2022, 2021, 2020, 2019, 2018",0000000.000000:9999999.999999,Final person weight,Numeric,All persons,,Person-month,,
FINYR[2:4],Survey Weights,Survey Weights,"2024, 2021, 2020, 2019, 2018, 2014 Wave 4, 2014 Wave 3, 2014 Wave 2, 2014 Wave 1",0000000.000000:9999999.999999,"Longitudinal survey weights for respondents present for a two-, three-, or four-year longitudinal period",Numeric,All persons,All persons,Person,,
